"Ranking","Name","Result_m","Announced","Points","Penalties","Date","Place","Country"
1507,"Maria Felicia CARRATURO ",68,68,68,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Italy"
1508,"Simone GAETA ",68,68,68,0,2012-09-09,"World Championship 2012","Italy"
1509,"Tomoka FUKUDA ",68,68,68,0,2012-09-09,"World Championship 2012","Japan"
1510,"Stephen KEENAN ",68,76,59,9,2014-09-28,"little blue hole competition","Ireland"
1511,"Santiago  LOPEZ ",68,68,68,0,2014-08-25,"2014 AIDA EuroCup","Spain"
1512,"Marianna KRUPNITSKAYA ",68,93,67,1,2016-04-22,"Vertical Blue 2016","Russian Federation"
1513,"TILLEY Mark ",67,67,67,0,2016-05-26,"Caribbean Cup 2016","United Kingdom"
1514,"Luka PENGOV ",67,80,53,14,2016-11-03,"Red C cup","Slovenia"
1515,"Irina KAPUSTA ",67,67,67,0,2016-11-03,"Red C cup","Russian Federation"
1516,"Pepe SALCEDO ",67,70,63,4,2015-11-01,"Big Blue","Mexico"
1517,"Stéphane MIFSUD ",67,67,57,10,2003-05-29,"Sony Freediver Open Classic 2003","France"
1518,"Jean-Michel PARDON ",67,0,67,0,2000-01-01,"Compiled rankings for year 2000","France"
1519,"Jean-Michel PARDON ",67,67,67,0,2009-09-16,"Nice Abyss Contest","France"
1520,"Bill STRÖMBERG ",67,67,67,0,2004-06-14,"BIOS Freeology Open Classic 2004","Sweden"
1521,"Eric FATTAH ",67,67,66,1,2008-04-01,"Vertical Blue 2008","Canada"
1522,"Timo KINNUNEN ",67,67,67,0,2006-07-22,"Asikkala Deep Duathlon","Finland"
1523,"Deron VERBECK ",67,70,67,0,2004-06-14,"BIOS Freeology Open Classic 2004","United States"
1524,"Tanya STREETER ",67,67,67,0,1998-09-19,"WR Attempt - STREETER Tanya (CWT)","United States"
1525,"Tom SIETAS ",67,67,67,0,2004-05-06,"4ème Manche Coupe d AIDA France 2004","Germany"
1526,"Walter STEYN ",67,86,47,20,2009-04-03,"Vertical Blue 2009","Australia"
1527,"Henning LARSEN ",67,67,67,0,2014-08-27,"2014 Danish hampionships","Denmark"
1528,"Tomoko YAMANOUCHI ",67,67,67,0,2009-04-03,"Vertical Blue 2009","Japan"
1529,"Weine GUSTAVSSON ",67,67,67,0,2009-08-13,"Nordic Deep 2009","Sweden"
1530,"Aurore ASSO ",67,67,67,0,2014-06-15,"7th AIDA Mediterranean World Cup","France"
1531,"Sakis TSONIS ",67,67,67,0,2005-07-09,"AIDA Hellas 2005 Summer Apnea Games","Greece"
1532,"Petr VALA ",67,72,61,6,2008-07-12,"AIDA Freediving RAB OFF","Czech Republic"
1533,"Junko KITAHAMA ",67,67,67,0,2011-11-11,"Freedive Paradise","Japan"
1534,"Edouard BELMONT ",67,67,67,0,2005-09-01,"1st AIDA Individual Constant Weight World Freediving Championship","France"
1535,"John MOORCROFT ",67,67,67,0,2012-09-09,"World Championship 2012","United Kingdom"
1536,"John MOORCROFT ",67,67,67,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","United Kingdom"
1537,"Bruno BEAUVERGER ",67,67,67,0,2008-07-12,"AIDA Freediving RAB OFF","France"
1538,"Alejandro W. ANDRES ",67,67,62,5,2012-11-20,"Suunto Vertical Blue 2012","Argentina"
1539,"Alejandro W. ANDRES ",67,67,62,5,2012-11-20,"Suunto Vertical Blue 2012","Argentina"
1540,"Alejandro W. ANDRES ",67,67,62,5,2012-11-20,"Suunto Vertical Blue 2012","Argentina"
1541,"Jussi LEHTONEN ",67,67,67,0,2006-07-22,"Asikkala Deep Duathlon","Finland"
1542,"Luka PENGOV ",67,71,62,5,2011-09-15,"AIDA Individual Depth World Championship 2011","Slovenia"
1543,"Jure DAIC ",67,67,67,0,2007-10-27,"4th AIDA Individual World Championship","Slovenia"
1544,"Misuzu HIRAI ",67,76,57,10,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","Japan"
1545,"Liv PHILIP ",67,67,67,0,2014-08-25,"2014 AIDA EuroCup","United Kingdom"
1546,"Martin ZAJAC ",67,67,67,0,2007-10-21,"Triple Depth","Slovakia"
1547,"Carolina SCHRAPPE ",67,67,67,0,2008-09-03,"AIDA Team World Championships 2008","Brazil"
1548,"Timothy MONEY ",67,67,67,0,2013-11-27,"UK-GERMANY COMPETITION","United Kingdom"
1549,"Wendy TIMMERMANS ",67,70,63,4,2011-09-15,"AIDA Individual Depth World Championship 2011","Netherlands"
1550,"Ben GUYAT ",67,67,67,0,2008-06-10,"Triple Depth 2008","United Kingdom"
1551,"Gary MCGRATH ",67,71,62,5,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","United Kingdom"
1552,"Bjarte NYGARD ",67,67,67,0,2009-04-21,"(in progress) Bizzy Blue Hole 2009","Norway"
1553,"Michele TOMASI ",67,102,31,36,2013-11-09,"Vertical Blue 2013","Italy"
1554,"Tetsuo HARA ",67,67,67,0,2012-11-20,"Suunto Vertical Blue 2012","Japan"
1555,"Tetsuo HARA ",67,67,67,0,2012-11-20,"Suunto Vertical Blue 2012","Japan"
1556,"Tetsuo HARA ",67,67,67,0,2012-11-20,"Suunto Vertical Blue 2012","Japan"
1557,"Natalia ZHARKOVA ",67,67,62,5,2012-05-30,"FDD LAST CHANCE WC QUALIFYING COMP  (sta+dyn+cwt)","Ukraine"
1558,"Evgeny SYCHEV ",67,81,52,15,2012-06-24,"FREEDIVE DAHAB June minicomp","Russian Federation"
1559,"Max LINDQVIST ",67,67,67,0,2012-09-09,"World Championship 2012","Sweden"
1560,"Max LINDQVIST ",67,85,48,19,2013-07-25,"Little Blue Hole Competition","Sweden"
1561,"Ashley CHAPMAN ",67,80,53,14,2014-05-25,"Caribbean Cup 2014","United States"
1562,"Morten ROSENVOLD VILLARDSEN ",67,75,58,9,2012-05-30,"FDD LAST CHANCE WC QUALIFYING COMP  (sta+dyn+cwt)","Denmark"
1563,"Katarina LINCZENYIOVA ",67,90,43,24,2015-06-06,"NIRVANA OCEANQUEST","Slovakia"
1564,"Jens STOETZNER ",67,67,67,0,2015-05-25,"FreedivingWorld Competition","Germany"
1565,"Stephen KEENAN ",67,76,57,10,2014-08-25,"2014 AIDA EuroCup","Ireland"
1566,"Ryan MYERS ",67,67,67,0,2015-04-27,"Suunto Vertical Blue 2015","United States"
1567,"Ryan MYERS ",67,70,63,4,2015-04-27,"Suunto Vertical Blue 2015","United States"
1568,"Liv PHILIP ",67,67,67,0,2016-04-22,"Vertical Blue 2016","United Kingdom"
1569,"Simon BENNETT ",67,67,67,0,2016-04-22,"Vertical Blue 2016","Chile"
1570,"TILLEY Mark ",67,67,67,0,2016-05-26,"Caribbean Cup 2016","United Kingdom"
1571,"TILLEY Mark ",67,67,67,0,2016-05-26,"Caribbean Cup 2016","United Kingdom"
1572,"Jakob Galbavy ",67,76,57,10,2013-07-27,"SUUNTO Cool Down 2013","Austria"
1573,"Alejandro  Lemus ",67,71,62,5,2012-09-09,"World Championship 2012","Mexico"
1574,"Alexis DUVIVIER ",66,66,66,0,2016-09-16,"Team World Championship","France"
1575,"Helena BOURDILLON ",66,66,66,0,2016-11-03,"Red C cup","United Kingdom"
1576,"Jakob Galbavy ",66,70,61,0,2016-07-09,"Cooldown 2016","Austria"
1577,"Herbert NITSCH ",66,0,66,0,2000-01-01,"Compiled rankings for year 2000","Austria"
1578,"Stéphane MIFSUD ",66,0,66,0,2001-01-01,"Compiled rankings for year 2001","France"
1579,"Stéphane MIFSUD ",66,0,66,0,2002-10-31,"AIDA Pacific Cup 2002","France"
1580,"Bill STRÖMBERG ",66,0,66,0,2002-10-31,"AIDA Pacific Cup 2002","Sweden"
1581,"Bill STRÖMBERG ",66,66,66,0,2006-12-09,"5th AIDA Freediving Team World Championship","Sweden"
1582,"Manolis GIANKOS ",66,0,66,0,2000-01-01,"Compiled rankings for year 2000","Greece"
1583,"Jessica WILSON ",66,66,66,0,2009-07-30,"Freedive Paradise 2009","United States"
1584,"Peter COLAT ",66,66,66,0,2013-08-24,"Swiss Championship Lake","Switzerland"
1585,"Karsten SCHNEIDER ",66,66,66,0,2009-09-06,"Triple Depth 2009","Germany"
1586,"Giorgos GEORGAS ",66,66,66,0,2005-07-09,"AIDA Hellas 2005 Summer Apnea Games","Greece"
1587,"Ulrich WULFF ",66,66,66,0,2013-09-09,"2013 Kalamata Open","Germany"
1588,"Ulrich WULFF ",66,70,61,5,2015-09-05,"2015 AIDA Depth World Championships Pre competition","Germany"
1589,"Erik MILLES ",66,66,66,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Sweden"
1590,"Christian MALDAMÉ ",66,66,66,0,2006-12-09,"5th AIDA Freediving Team World Championship","France"
1591,"Johan THELAUS ",66,66,66,0,2005-05-28,"CIPA Open of Nice","Sweden"
1592,"Wolfram NEUGEBAUER ",66,70,61,5,2006-08-19,"Nordic Deep 2006","Germany"
1593,"Morgan BOURCHIS ",66,66,66,0,2006-12-09,"5th AIDA Freediving Team World Championship","France"
1594,"Petr VALA ",66,66,66,0,2009-04-21,"(in progress) Bizzy Blue Hole 2009","Czech Republic"
1595,"Panos LIANOS ",66,66,66,0,2005-09-01,"1st AIDA Individual Constant Weight World Freediving Championship","Greece"
1596,"Junko KITAHAMA ",66,70,61,5,2013-11-09,"Vertical Blue 2013","Japan"
1597,"Jyri VEHMASKOSKI ",66,68,63,3,2011-04-17,"Vertical Blue 2011","Finland"
1598,"Jonas KRAHN ",66,66,66,0,2007-08-14,"Nordic Deep with Six Competitions in One","Germany"
1599,"Jan HONYSCH ",66,66,66,0,2008-08-20,"Nordic Deep 2008","Czech Republic"
1600,"Anders Nerpin ",66,66,66,0,2014-05-25,"Caribbean Cup 2014","Sweden"
1601,"Iru BALIC ",66,72,59,7,2013-05-20,"Caribbean Cup 2013","Venezuela"
1602,"Thomas GRINDEVOLL ",66,66,66,0,2005-09-01,"1st AIDA Individual Constant Weight World Freediving Championship","Norway"
1603,"Patrick POGGI ",66,92,39,27,2015-06-20,"Nice Abyss Contest 2015","France"
1604,"Jarmila SLOVENCÍKOVÁ ",66,66,66,0,2009-12-03,"5th AIDA Individual World Championship 2009","Czech Republic"
1605,"Misuzu HIRAI ",66,66,66,0,2008-06-28,"Okinawa Freediving Cup 2008","Japan"
1606,"Misuzu HIRAI ",66,66,66,0,2009-12-03,"5th AIDA Individual World Championship 2009","Japan"
1607,"Misuzu HIRAI ",66,75,56,10,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","Japan"
1608,"Alejandra LOPEZ ",66,66,66,0,2015-04-27,"Suunto Vertical Blue 2015","Mexico"
1609,"Linda PAGANELLI ",66,66,66,0,2005-11-05,"Triple Depth - Freedive Dahab","Italy"
1610,"Per WESTIN ",66,66,66,0,2007-10-07,"Summer Apnea Games 2007 - In Memory of Dimitris Vassilakis","Sweden"
1611,"Per WESTIN ",66,75,56,10,2011-04-28,"Freedive Dahab Mini Comp 2011","Sweden"
1612,"Kerian HIBBS ",66,76,55,11,2009-04-03,"Vertical Blue 2009","New Zealand"
1613,"Carolina SCHRAPPE ",66,66,66,0,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","Brazil"
1614,"Carolina SCHRAPPE ",66,73,58,8,2011-04-17,"Vertical Blue 2011","Brazil"
1615,"Augustin DI FRANCISCO ",66,66,66,0,2007-09-15,"1st Blue Lake Invitational 2007","Argentina"
1616,"Eric VAN RIET PAAP ",66,66,66,0,2014-10-14,"Triple Depth","Netherlands"
1617,"Mohamed HAMZA ",66,66,56,10,2007-10-27,"4th AIDA Individual World Championship","Singapore"
1618,"Wendy TIMMERMANS ",66,70,61,5,2012-08-30,"Little Blue Hole Competition","Netherlands"
1619,"Maria Teresa SOLOMONS ",66,66,66,0,2008-06-20,"AIDA Mexico Xibalba 2008","United Kingdom"
1620,"Stuart BOND ",66,66,61,5,2010-04-29,"Bizzy Blue Hole 2010","United Kingdom"
1621,"Philippe TAGLIOFERRI ",66,66,66,0,2013-07-06,"Nice Abyss contest 2013","France"
1622,"Philippe TAGLIOFERRI ",66,66,66,0,2013-07-06,"Nice Abyss contest 2013","France"
1623,"Ben WEISS ",66,66,66,0,2012-05-04,"Deja Blue 3","United States"
1624,"Erin MAGEE ",66,66,66,0,2010-05-11,"PFI Deja Blue 2010","United States"
1625,"Ken KIRIYAMA ",66,74,57,9,2015-04-27,"Suunto Vertical Blue 2015","Denmark"
1626,"Evgeny SYCHEV ",66,66,61,5,2010-09-26,"Triple Depth 2010","Russian Federation"
1627,"Rosibel MOLINA ",66,66,66,0,2010-05-11,"PFI Deja Blue 2010","Cuba"
1628,"Tue KAPPEL ",66,66,66,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","Denmark"
1629,"Kate MIDDLETON ",66,66,66,0,2013-10-30,"One Breath Jamboree","New Zealand"
1630,"Kate MIDDLETON ",66,70,61,5,2014-11-27,"Suunto Vertical Blue","New Zealand"
1631,"Michael NAEF ",66,66,66,0,2011-07-10,"Swiss Championship lake","Switzerland"
1632,"Michael NAEF ",66,66,66,0,2012-09-09,"World Championship 2012","Switzerland"
1633,"Kerry HOLLOWELL ",66,66,66,0,2015-05-11,"Deja Blue VI","United States"
1634,"Kerry HOLLOWELL ",66,72,59,7,2015-05-23,"Caribbean Cup 2015","United States"
1635,"Giorgos SKANDALIS ",66,66,66,0,2014-09-27,"Summer Apnea Games 2014","Greece"
1636,"Stephen KEENAN ",66,66,61,5,2014-05-15,"Russian National","Ireland"
1637,"Stig PRYDS ",66,66,66,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","Denmark"
1638,"Jonathan LATA ",66,66,66,0,2013-08-02,"Freedive Paradise in 3D","United States"
1639,"mandy SUMNER ",66,66,66,0,2015-09-11,"2015 AIDA Depth World Championships","United States"
1640,"Jihoon JANG ",66,66,66,0,2015-05-02,"Freedive Panglao Depth Challenge 2015","Korea, Republic of"
1641,"Camilla Salling Olsen ",66,66,66,0,2013-08-07,"Nordic Championship 2013","Denmark"
1642,"Mateusz Malina ",66,66,66,0,2013-07-27,"SUUNTO Cool Down 2013","Poland"
1643,"ASHLEIGH BAIRD ",65,65,65,0,2016-09-16,"Team World Championship","United States"
1644,"Jennifer WENDLAND ",65,65,65,0,2016-09-16,"Team World Championship","Germany"
1645,"Jens STOETZNER ",65,65,65,0,2016-09-16,"Team World Championship","Germany"
1646,"Marina KAZANKOVA ",65,65,65,0,2016-09-04,"BONAIRE DEEPSEA CHALLENGE","Russian Federation"
1647,"Chao SHEN ",65,65,65,0,2016-04-30,"Freedive Panglao Depth Challenge","China"
1648,"TILLEY Mark ",65,67,62,0,2016-05-09,"Deja Blue 7","United Kingdom"
1649,"Sofia Tapani ",65,65,65,0,2016-09-16,"Team World Championship","Sweden"
1650,"Nick FAZAH ",65,65,65,0,2012-11-20,"Suunto Vertical Blue 2012","United States"
1651,"Nick FAZAH ",65,65,65,0,2012-11-20,"Suunto Vertical Blue 2012","United States"
1652,"Nick FAZAH ",65,65,65,0,2012-11-20,"Suunto Vertical Blue 2012","United States"
1653,"Pepe SALCEDO ",65,65,65,0,2015-11-01,"Big Blue","Mexico"
1654,"Kazuaki ICHIKAWA ",65,65,65,0,2004-06-27,"2nd Japanese Freediving Championship 2004","Japan"
1655,"Pierre FROLLA ",65,0,65,0,2000-01-01,"Compiled rankings for year 2000","Monaco"
1656,"Mandy-Rae CRUICKSHANK ",65,0,65,0,2002-10-31,"AIDA Pacific Cup 2002","Canada"
1657,"Jessica WILSON ",65,65,65,0,2008-04-21,"Liquification 2008","United States"
1658,"Jessica WILSON ",65,65,65,0,2011-11-11,"Freedive Paradise","United States"
1659,"Peter PEDERSEN ",65,65,65,0,2004-05-06,"4ème Manche Coupe d AIDA France 2004","Denmark"
1660,"Deron VERBECK ",65,65,65,0,2003-05-29,"Sony Freediver Open Classic 2003","United States"
1661,"Deron VERBECK ",65,65,65,0,2007-06-23,"Coupe des Calanques 2007","United States"
1662,"Karoline Meyer MARIECHEN MEYER ",65,65,65,0,2009-08-25,"Bonaire Challenge 2009","Brazil"
1663,"Tom LIGHTFOOT ",65,0,65,0,2002-09-14,"CAFA Western Regional Competition II","Canada"
1664,"Tom LIGHTFOOT ",65,0,65,0,2002-10-31,"AIDA Pacific Cup 2002","Canada"
1665,"Andy GÜLDNER ",65,65,65,0,2006-12-09,"5th AIDA Freediving Team World Championship","Germany"
1666,"Timo JATTU ",65,65,65,0,2007-08-14,"Nordic Deep with Six Competitions in One","Denmark"
1667,"Antony JUDGE ",65,65,65,0,2014-03-21,"Dive Wellington/Beuchat New Zealand Freediving National Depth Championships","Australia"
1668,"Henning LARSEN ",65,65,65,0,2012-08-09,"Danish Depth Championship 2012","Denmark"
1669,"Ulrich WULFF ",65,70,59,6,2015-09-05,"2015 AIDA Depth World Championships Pre competition","Germany"
1670,"Kars VAN KOUWEN ",65,65,65,0,2008-08-20,"Nordic Deep 2008","Netherlands"
1671,"Lotta ERICSON ",65,65,65,0,2005-09-01,"1st AIDA Individual Constant Weight World Freediving Championship","Sweden"
1672,"Tomoko YAMANOUCHI ",65,65,65,0,2009-04-03,"Vertical Blue 2009","Japan"
1673,"Jesper STECHMANN ",65,65,65,0,2008-08-20,"Nordic Deep 2008","Denmark"
1674,"Weine GUSTAVSSON ",65,65,65,0,2006-12-09,"5th AIDA Freediving Team World Championship","Sweden"
1675,"Weine GUSTAVSSON ",65,65,65,0,2009-08-13,"Nordic Deep 2009","Sweden"
1676,"Aurore ASSO ",65,65,65,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","France"
1677,"Aurore ASSO ",65,65,65,0,2014-06-15,"7th AIDA Mediterranean World Cup","France"
1678,"Erik MILLES ",65,65,65,0,2007-10-27,"4th AIDA Individual World Championship","Sweden"
1679,"Johan THELAUS ",65,65,65,0,2004-06-14,"BIOS Freeology Open Classic 2004","Sweden"
1680,"Johan THELAUS ",65,65,65,0,2007-07-28,"FSE Sea Competition ONE","Sweden"
1681,"Johan THELAUS ",65,65,65,0,2009-08-13,"Nordic Deep 2009","Sweden"
1682,"Mark HARRIS ",65,65,65,0,2006-12-09,"5th AIDA Freediving Team World Championship","United Kingdom"
1683,"Patrick SCHNORF ",65,65,65,0,2006-12-09,"5th AIDA Freediving Team World Championship","Switzerland"
1684,"Jyri VEHMASKOSKI ",65,65,60,5,2011-04-17,"Vertical Blue 2011","Finland"
1685,"Michael ANTINORI ",65,65,65,0,2008-04-21,"Liquification 2008","United States"
1686,"Alejandro W. ANDRES ",65,65,65,0,2015-06-06,"NIRVANA OCEANQUEST","Argentina"
1687,"Natalia AVSEENKO ",65,65,65,0,2008-09-03,"AIDA Team World Championships 2008","Russian Federation"
1688,"Sam STILL ",65,65,65,0,2005-09-01,"1st AIDA Individual Constant Weight World Freediving Championship","United Kingdom"
1689,"Luka PENGOV ",65,68,61,4,2009-09-13,"AIDA Hellas Freediving Championship 2009","Slovenia"
1690,"Stavros KASTRINAKIS ",65,65,65,0,2014-06-18,"7th Mediterranean Cup Static and CWT Challenge","Greece"
1691,"Jarmila SLOVENCÍKOVÁ ",65,65,65,0,2008-07-12,"AIDA Freediving RAB OFF","Czech Republic"
1692,"Misuzu HIRAI ",65,71,58,0,2009-07-19,"Okinawa Freediving Cup 2009","Japan"
1693,"Linda PAGANELLI ",65,65,60,5,2011-07-22,"FDD JULY comp","Italy"
1694,"Leo Yasumasa MURAOKA ",65,65,65,0,2010-04-22,"Freedive Paradise 2010","United States"
1695,"Elisabeth Sveen KRISTOFFERSEN ",65,65,65,0,2009-04-21,"(in progress) Bizzy Blue Hole 2009","Norway"
1696,"Per WESTIN ",65,65,65,0,2006-08-19,"Nordic Deep 2006","Sweden"
1697,"Maria Livbjerg ",65,65,65,0,2009-06-22,"2nd Mediterranean Freediving Meeting","Denmark"
1698,"Carolina SCHRAPPE ",65,65,65,0,2009-05-27,"PFI Cayman 2009","Brazil"
1699,"Carolina SCHRAPPE ",65,65,60,5,2011-04-17,"Vertical Blue 2011","Brazil"
1700,"Carolina SCHRAPPE ",65,65,65,0,2013-10-05,"Deja Blue IV","Brazil"
1701,"Luis DELGADO ",65,65,65,0,2007-10-27,"4th AIDA Individual World Championship","Venezuela"
1702,"Robert KING ",65,79,50,15,2009-06-22,"2nd Mediterranean Freediving Meeting","United States"
1703,"Katsuya HAMAZAKI ",65,65,65,0,2010-04-22,"Freedive Paradise 2010","Japan"
1704,"Timothy MONEY ",65,65,65,0,2013-11-27,"UK-GERMANY COMPETITION","United Kingdom"
1705,"Alon RIVKIND ",65,65,65,0,2009-09-06,"Triple Depth 2009","Israel"
1706,"Chris MARSHALL ",65,65,65,0,2010-09-26,"Triple Depth 2010","New Zealand"
1707,"Hanako HIROSE ",65,65,65,0,2013-11-09,"Vertical Blue 2013","Japan"
1708,"Hiroshi SAKAI ",65,69,60,5,2009-07-17,"Deep Water Cup Okinawa 2009","Japan"
1709,"Hiroshi SAKAI ",65,65,65,0,2009-07-19,"Okinawa Freediving Cup 2009","Japan"
1710,"Sergio Martinez ALVAREZ ",65,65,65,0,2011-04-28,"Freedive Dahab Mini Comp 2011","Germany"
1711,"Giorgos SAKKAS ",65,65,65,0,2010-06-14,"3rd Mediterranean Freediving Meeting","Greece"
1712,"Jonérik EKSTRÖM ",65,65,65,0,2013-07-28,"Asikkala Depth Challenge 2013","Finland"
1713,"Mikko PÖNTINEN ",65,65,65,0,2014-07-27,"Asikkala Depth Challenge 2014","Finland"
1714,"Sara CAMPBELL ",65,65,65,0,2011-04-28,"Freedive Dahab Mini Comp 2011","United Kingdom"
1715,"Federico MANA ",65,65,65,0,2007-07-16,"2nd Trophy City of Peace","Italy"
1716,"Mohamed HAMZA ",65,65,65,0,2007-10-21,"Triple Depth","Singapore"
1717,"Andrea ZUCCARI ",65,65,65,0,2008-09-03,"AIDA Team World Championships 2008","Switzerland"
1718,"Jacob HANSEN ",65,65,65,0,2009-04-21,"(in progress) Bizzy Blue Hole 2009","Denmark"
1719,"Maria Teresa SOLOMONS ",65,65,65,0,2010-06-14,"3rd Mediterranean Freediving Meeting","United Kingdom"
1720,"Giorgos PANAGIOTAKIS ",65,65,65,0,2009-09-13,"AIDA Hellas Freediving Championship 2009","Greece"
1721,"Frederic SESSA ",65,65,65,0,2010-07-06,"7th AIDA Team World Championship 2010","France"
1722,"Frederic SESSA ",65,65,65,0,2012-09-09,"World Championship 2012","France"
1723,"Ted HARTY ",65,65,65,0,2010-05-11,"PFI Deja Blue 2010","United States"
1724,"Christopher FRIEDRICH ",65,65,65,0,2012-09-09,"World Championship 2012","Austria"
1725,"Pepe ARCOS ",65,65,65,0,2010-05-21,"Freedive Dahab Mini Comp 2010","Spain"
1726,"Sahika ERCUMEN ",65,65,65,0,2015-06-24,"Spontaneous Blue Hole Competition","Turkey"
1727,"Estrella NAVARO ",65,65,65,0,2014-11-27,"Suunto Vertical Blue","Mexico"
1728,"Lena JOVANOVIC ",65,65,65,0,2011-04-17,"Vertical Blue 2011","Serbia"
1729,"Ashley CHAPMAN ",65,83,46,19,2015-05-23,"Caribbean Cup 2015","United States"
1730,"Yaron HOORY ",65,65,65,0,2012-09-09,"World Championship 2012","Israel"
1731,"Rodolfo ROBATTI ",65,65,65,0,2015-04-30,"RedCcup","Switzerland"
1732,"Simon BENNETT ",65,65,65,0,2015-06-06,"NIRVANA OCEANQUEST","Chile"
1733,"Sergio MARTINEZ ",65,65,65,0,2011-04-28,"Freedive Dahab Mini Comp 2011","Germany"
1734,"Michael NAEF ",65,65,65,0,2010-05-21,"Freedive Dahab Mini Comp 2010","Switzerland"
1735,"Roman ONDRUJ ",65,65,65,0,2009-04-21,"(in progress) Bizzy Blue Hole 2009","Czech Republic"
1736,"DEBORAH ANDOLLO ",65,0,65,0,1997-12-05,"WR Attempt - ANDOLLO Deborah","Cuba"
1737,"Tatiana ZEMSKIKH ",65,65,65,0,2014-07-29,"depth mini comps","Russian Federation"
1738,"Thomas REINER ",65,65,65,0,2012-09-09,"World Championship 2012","Germany"
1739,"Kerry HOLLOWELL ",65,65,65,0,2015-09-05,"2015 AIDA Depth World Championships Pre competition","United States"
1740,"Kerry HOLLOWELL ",65,65,65,0,2015-11-01,"Big Blue","United States"
1741,"Tomoka FUKUDA ",65,65,65,0,2012-07-13,"Deep Water Cup 2012 OKINAWA","Japan"
1742,"Katarina LINCZENYIOVA ",65,80,39,26,2013-08-24,"Little Blue Hole Competition","Slovakia"
1743,"Jens STOETZNER ",65,65,65,0,2014-10-22,"1st Infinity Depth Games 2014","Germany"
1744,"mehmet ARIKOK ",65,65,65,0,2012-12-05,"Little Blue Hole Competition","Turkey"
1745,"Carlos CORREA ",65,65,65,0,2015-05-23,"Caribbean Cup 2015","Colombia"
1746,"Misuzu OKAMOTO ",65,93,36,29,2014-11-27,"Suunto Vertical Blue","Japan"
1747,"Shelby EISENBERG ",65,65,65,0,2015-05-11,"Deja Blue VI","United States"
1748,"Ryan MYERS ",65,65,65,0,2015-04-27,"Suunto Vertical Blue 2015","United States"
1749,"Wenjie LU ",65,65,60,5,2015-05-11,"Deja Blue VI","China"
1750,"carl ATKINSON ",65,65,65,0,2015-10-01,"Triple Depth","United Kingdom"
1751,"John DAINES ",65,65,65,0,2009-09-06,"Triple Depth 2009","South Africa"
1752,"Dongha KIM ",65,65,65,0,2013-06-23,"FREEDIVE DAHAB / BLUE IMMERSION June minicomp","Korea, Republic of"
1753,"Yulia MARYEVICH ",65,65,65,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","Latvia"
1754,"Stanley SRADAPUTTA ",65,65,65,0,2015-05-02,"Freedive Panglao Depth Challenge 2015","Indonesia"
1755,"Anna VON BOETTICHER ",65,65,65,0,2016-04-22,"Vertical Blue 2016","Germany"
1756,"Camila JABER ",65,65,65,0,2016-04-22,"Vertical Blue 2016","Mexico"
1757,"Kathryn Nevatt ",65,65,65,0,2008-04-01,"Vertical Blue 2008","New Zealand"
1758,"Kurt Chambers ",65,65,65,0,2010-04-22,"Freedive Paradise 2010","United States"
1759,"Alejandro  Lemus ",65,65,65,0,2011-07-16,"xibalba 2011","Mexico"
1760,"Sun Young KIM ",64,64,64,0,2016-11-02,"Blue Element 2016","Korea, Republic of"
1761,"Yoram ZEKRI ",64,64,64,0,2016-11-13,"Australian Depth National Freediving Championship 2016","France"
1762,"Ricardo MONTANS ",64,64,64,0,2016-06-04,"Nirvana Oceanquest Competition","Argentina"
1763,"Dominique VENTZKE ",64,64,64,0,2004-08-12,"4th AIDA Freediving World Championship by team","Germany"
1764,"Alain DUJET ",64,0,64,0,2001-01-01,"Compiled rankings for year 2001","France"
1765,"Claude CHAPUIS ",64,0,64,0,2001-01-01,"Compiled rankings for year 2001","France"
1766,"Hubert MAIER ",64,64,64,0,2004-08-12,"4th AIDA Freediving World Championship by team","Germany"
1767,"Hubert MAIER ",64,64,64,0,2003-09-05,"Heart of Europe - 2nd Carinthian Freediving International","Germany"
1768,"Jean-Michel PARDON ",64,70,57,7,2005-05-28,"CIPA Open of Nice","France"
1769,"Stig Åvall SEVERINSEN ",64,64,64,0,2006-12-09,"5th AIDA Freediving Team World Championship","Denmark"
1770,"Peter COLAT ",64,64,64,0,2005-09-01,"1st AIDA Individual Constant Weight World Freediving Championship","Switzerland"
1771,"Megumi MATSUMOTO ",64,64,64,0,2008-04-01,"Vertical Blue 2008","Japan"
1772,"Ryuzo SHINOMIYA ",64,83,44,20,2005-09-01,"1st AIDA Individual Constant Weight World Freediving Championship","Japan"
1773,"Lee DONNELLY ",64,0,64,0,2002-10-31,"AIDA Pacific Cup 2002","United Kingdom"
